schema_version,solver_version,experiment,perturbation_domain,deformation_model,deformation_magnitude_deg,deformation_sign,camera_pitch_true_deg,camera_roll_true_deg,n_total,n_success,n_failure,failure_rate,yaw_mae_deg,blade_mae_deg,alpha_step_deg,yaw_step_deg,side_exclusion_deg,base_seed,group_seed,configured_repeats,effective_repeats,refinement_enabled,max_refine_seeds
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,0.0,positive rotor-axis direction,-45.0,0.0,816,816,0,0.0,8.474267039727077e-14,4.587180308804176e-14,5.0,5.0,5.0,20260713,24260713,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,1.0,positive rotor-axis direction,-45.0,0.0,816,816,0,0.0,0.9630711154049895,0.9594072081014354,5.0,5.0,5.0,20260713,24260813,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,2.0,positive rotor-axis direction,-45.0,0.0,816,816,0,0.0,1.9267273249943873,1.9294927153809118,5.0,5.0,5.0,20260713,24260913,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,4.0,positive rotor-axis direction,-45.0,0.0,816,816,0,0.0,3.8306974535013993,3.9193250950550977,5.0,5.0,5.0,20260713,24261013,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,0.0,positive rotor-axis direction,0.0,0.0,816,816,0,0.0,1.8185742968169096e-08,4.4213970175697866e-10,5.0,5.0,5.0,20260713,24270713,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,1.0,positive rotor-axis direction,0.0,0.0,816,816,0,0.0,1.0587291793566107,0.26794290942162113,5.0,5.0,5.0,20260713,24270813,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,2.0,positive rotor-axis direction,0.0,0.0,816,816,0,0.0,2.1433712116218793,0.543063222319059,5.0,5.0,5.0,20260713,24270913,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,4.0,positive rotor-axis direction,0.0,0.0,816,816,0,0.0,4.327540788929608,1.1532098719686616,5.0,5.0,5.0,20260713,24271013,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,0.0,positive rotor-axis direction,45.0,0.0,816,816,0,0.0,4.266739467186876e-14,2.6863043380145945e-14,5.0,5.0,5.0,20260713,24280713,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,1.0,positive rotor-axis direction,45.0,0.0,816,816,0,0.0,0.9630711154049899,0.9594072081014346,5.0,5.0,5.0,20260713,24280813,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,2.0,positive rotor-axis direction,45.0,0.0,816,816,0,0.0,1.9267273249943875,1.9294927153809123,5.0,5.0,5.0,20260713,24280913,1,1,True,4
1.0,unit_centerline_quartic_v1,residual_deformation_3d,3D rotor-axis tilt before projection,deterministic common rotor-axis tilt,4.0,positive rotor-axis direction,45.0,0.0,816,816,0,0.0,3.8306974535013993,3.9193250950550973,5.0,5.0,5.0,20260713,24281013,1,1,True,4

