distance_to_side_deg,camera_pitch_true_deg,centerline_noise_std_deg,repeats,seed,n_total,n_success,n_failure,failure_rate,yaw_mae_deg_successful,yaw_rmse_deg_successful,yaw_p95_abs_error_deg_successful,alpha_mae_deg_successful,alpha_rmse_deg_successful,alpha_p95_abs_error_deg_successful,alpha_catastrophic_rate_overall,min_clean_projection_norm
0.25,-45.0,2.0,50,20260714,1200,847,353,0.2941666666666667,14.255106814378223,32.16907919523785,89.74999994270422,22.32816455949525,27.49521112652915,52.231167163692916,0.7958333333333333,0.0872051830000468
0.5,-45.0,2.0,50,20260714,1200,972,228,0.19,11.347385064559932,28.161934788666223,89.49999994270422,18.402604392664127,23.602202566623397,46.44697875107592,0.6975,0.08735333363894435
1.0,-45.0,2.0,50,20260714,1200,1092,108,0.09,7.686636491959937,22.110806034321186,44.0,13.969367787817433,19.10802892709718,42.02864122465624,0.5466666666666666,0.08794340731209083
2.0,-45.0,2.0,50,20260714,1200,1183,17,0.014166666666666666,3.230869815121902,12.084243800464858,4.345598430077602,9.450136491267097,13.635821015999115,28.597808728885393,0.3575,0.09026461969963204
3.0,-45.0,2.0,50,20260714,1200,1199,1,0.0008333333333333334,1.7255097053403767,5.52732590953103,2.999999942704221,6.911056961759443,10.22631929908925,22.569565260690975,0.23,0.09400426113496367
5.0,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.3972427795537674,1.8227592059915994,3.78403431351499,4.353752671139016,6.857744107719864,13.738213275841563,0.1,0.10506729523385702
7.5,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.3998789661867883,1.8492870459902144,3.620096719052284,2.843526923775724,4.466325328985944,8.435480972695219,0.034166666666666665,0.12380776978866884
10.0,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.3992180223072543,1.8311365995231936,3.52257123024529,2.103189658282367,3.151332508895014,6.343692916592856,0.015,0.14596655059545272
15.0,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.4258169880307625,1.8473601387488137,3.5455686664580135,1.4588793470510395,2.10303452265378,4.455778380978876,0.0025,0.19548183466510222
20.0,-45.0,2.0,50,20260714,1200,1200,0,0.0,1.4779994774575136,1.9079886432362427,3.6898156112865332,1.2037580938826054,1.6818371407865993,3.5712379001521,0.0008333333333333334,0.24790706100782176
